CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,U104,U105,U202_01,U203,U204,U204_01,U204_02,U204_03,U204_04,U204_05,U204_06,U204_07,U205,U205_01,U205_02,U205_03,U205_04,U205_05,U205_06,U205_07,U205_08,U205_09,U205_10,U206,U207,U208,U208_02,U208_03,U208_04,U208_05,U208_07,U208_08,U208_09,U208_10,U208_11,U208_12,U208_13,U208_14,U208_15,U208_16,U208_16a,U209,U210,U210_01,U210_02,U210_03,U210_04,U210_05,U210_06,U210_07,U210_08,U210_09,U210_10,U210_11,U210_12,U210_13,U210_16,U210_15,U210_14,U210_14a,U211,U212,U212_01,U212_02,U212_03,U212_04,U212_05,U212_06,U212_07,U212_08,U212_09,U212_10,U212_11,U212_12,U212_13,U212_14,U212_14a,U213,U213_02,U302_01,U302_02,U302_03,U303_01,U303_02,U303_03,U303_04,U303_05,U303_06,U304_01,U305_01,U402_01,U402_02,U402_03,U402_04,U402_05,U403_01,U403_02,U403_03,U403_04,U403_05,U403_06,U403_07,U403_08,U403_09,U403_10,U403_11,U403_12,U404_03,U404_04,U404_05,U404_06,U404_07,U405_01,U405_02,U405_03,U405_04,U502_01,U502_02,U502_03,U502_04,U502_05,U502_06,U503_01,U503_02,U503_03,U503_04,U503_05,U503_06,U504_01,U504_02,U504_03,U504_04,U504_05,U504_06,U504_07,U504_08,U504_09,U504_10,U504_11,U504_12,U504_13,U504_14,U504_15,U504_16,U504_17,U504_18,U602_01,U602_02,U602_03,U602_04,U602_05,U602_06,U602_07,U602_08,U602_09,U602_10,U602_11,U602_12,U602_13,U602_14,U602_15,U602_16,U603_01,U603_02,U603_03,U603_04,U603_05,U603_06,U603_07,U603_08,U603_09,U603_10,U603_11,U603_12,U603_14,U603_16,U603_17,U604_01,U604_02,U604_03,U604_04,U604_05,U604_06,U604_07,U604_08,U605_01,U605_02,U605_03,U605_04,U606,U607_01,U607_02,U607_03,U607_04,U607_05,U607_06,U607_07,U607_08,U607_09,U702_01,U702_02,U702_03,U702_04,U702_05,U702_06,U702_07,U702_08,U702_09,U702_10,U703_01,U703_02,U703_03,U703_04,U703_05,U703_06,U703_07,U703_08,U703_09,U703_10,U703_11,U703_12,U704_01,U704_02,U704_03,U704_04,U704_05,U704_06,U704_07,U704_08,U704_09,U705,U706_01_CN,U706_01_1,U706_01_2,U706_01_3,U706_01_4,U706_02_CN,U706_02_1,U706_02_2,U706_02_3,U706_02_4,U706_03_CN,U706_03_1,U706_03_2,U706_03_3,U706_03_4,U706_04_CN,U706_04_1,U706_04_2,U706_04_3,U706_04_4,U706_05_CN,U706_05_1,U706_05_2,U706_05_3,U706_05_4,U706_06_CN,U706_06_1,U706_06_2,U706_06_3,U706_06_4,U706_07_CN,U706_07_1,U706_07_2,U706_07_3,U706_07_4,U706_08_CN,U706_08_1,U706_08_2,U706_08_3,U706_08_4,U706_09_CN,U706_09_1,U706_09_2,U706_09_3,U706_09_4,U708_01,U710_01,U710_02,U710_03,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME015,TIME016,TIME017,TIME018,TIME019,TIME020,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI
170,NA,NA,US-01,interview,45604.600381944445,1,1,34,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,NA,NA,1,NA,4,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,NA,1,NA,40,40,20,5,0,10,0,0,0,10,2,3,2,4,2,1,2,1,2,2,2,1,2,2,1,1,1,2,2,1,1,2,1,2,1,1,1,5,5,5,5,5,5,4,1,4,1,4,3,5,2,5,2,4,5,4,4,2,3,4,5,4,2,4,4,3,3,5,4,5,5,4,3,1,1,1,3,5,4,4,3,4,5,2,2,4,3,2,2,4,4,2,3,4,4,1,2,2,4,4,4,4,1,1,1,3,2,2,1,1,2,5,1,5,3,1,2,4,2,2,1,4,3,4,1,2,2,1,5,4,4,1,1,5,2,4,4,1,1,2,2,2,2,1,-1,3,1,3,-1,4,4,1,1,2,1,1,1,0,1,1,1,1,2,2,2,1,1,0,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,0,1,1,1,1,NA,1,1,0,21,14,49,62,45,87,45,32,59,24,30,66,24,54,28,3,47,2,NA,NA,692,NA,45604.608402777776,1,0,18,18,2,1,18994
175,NA,NA,US-01,interview,45604.621921296297,1,1,48,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,NA,NA,1,NA,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,NA,1,NA,90,45,1000,15,0,15,0,0,1,25,3,2,4,2,3,1,4,1,4,3,3,2,3,3,2,1,1,3,1,2,1,1,1,2,1,2,1,5,5,5,5,5,5,5,1,4,1,4,1,2,3,5,3,2,1,2,4,1,2,2,4,4,2,5,4,2,2,5,5,5,4,4,4,1,1,1,5,4,3,5,4,5,5,2,3,3,4,4,4,4,3,3,2,4,4,1,2,2,5,5,5,5,2,2,1,3,3,4,4,3,1,5,4,5,4,1,2,5,2,2,1,4,4,5,4,2,1,2,5,4,5,2,1,4,2,1,1,1,1,1,2,1,4,2,4,4,5,5,4,5,4,1,2,2,2,1,1,2,2,2,1,1,2,2,2,1,1,0,1,1,1,1,2,2,2,1,1,2,2,2,1,1,2,2,2,1,1,0,1,1,1,1,0,1,1,1,1,NA,3,1,0,11,21,24,79,95,180,59,29888,91,40,51,104,32,63,38,7,72,1,NA,NA,1002,NA,45604.979050925926,1,0,18,18,2,1,44197
177,NA,NA,US-01,interview,45604.698391203703,1,1,33,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,NA,5,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,96,40,10,5,0,6,4,0,0,40,6,3,3,2,4,2,3,4,2,3,2,2,2,2,1,2,1,2,2,2,1,1,2,3,2,2,1,3,4,4,5,4,4,5,1,5,1,4,1,5,3,5,3,4,2,3,5,1,3,4,4,3,1,5,4,2,3,5,5,5,5,5,5,1,1,1,5,4,3,5,5,5,5,3,3,2,4,4,4,4,4,2,3,4,4,1,4,2,5,5,5,5,2,1,1,1,4,4,4,4,2,5,1,5,5,1,1,5,1,1,2,2,2,3,2,4,4,3,3,3,4,2,3,3,4,3,3,1,4,4,5,3,2,1,4,4,3,3,1,2,2,1,2,1,1,2,2,1,1,1,2,1,2,2,1,2,1,2,2,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,0,1,1,1,1,NA,3,2,0,7,22,29,176,60,161,82,38,79,33,56,79,27,55,30,13,103,2,NA,NA,1052,NA,45604.71056712963,1,0,18,18,1,0,45689
182,NA,NA,US-01,interview,45604.801111111112,1,1,54,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,NA,NA,1,NA,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,NA,1,NA,6,3,3,10,0,0,0,0,1,15,5,2,2,2,1,1,4,1,3,3,2,1,3,3,1,2,1,4,1,1,1,1,1,1,1,1,1,5,5,4,4,3,5,5,2,4,2,4,2,3,4,4,5,3,1,2,4,3,2,3,5,3,2,4,1,1,1,5,5,4,4,4,3,1,1,1,5,4,3,4,4,4,4,3,3,2,3,4,3,3,3,3,2,3,4,1,3,2,4,4,4,4,1,1,1,4,4,3,2,2,1,4,2,4,4,2,2,4,2,2,5,2,2,1,2,4,4,3,4,2,2,4,-1,3,2,-1,-1,2,4,3,4,4,2,2,4,4,3,3,3,2,3,1,1,1,1,2,1,1,1,1,2,1,0,1,1,1,1,0,1,1,1,1,1,1,1,2,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,NA,1,0,0,23,17,27,58,76,209,84,32,81,34,61,101,43,72,45,11,58,3,NA,NA,1035,NA,45604.813090277778,1,0,18,18,4,2,45839
183,NA,NA,US-01,interview,45604.908553240741,1,1,39,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,NA,NA,1,NA,5,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,NA,1,NA,4,3,6,20,1,3,0,0,0,6,1,5,5,5,6,5,2,3,4,3,4,2,2,2,3,2,4,2,2,2,2,1,1,2,2,2,2,3,5,3,2,4,3,4,3,3,2,4,2,4,3,5,5,5,2,3,2,1,1,2,5,2,5,5,3,1,2,5,4,5,5,5,4,1,1,1,5,5,5,5,5,5,5,2,3,3,4,4,3,4,4,3,2,4,4,1,3,1,5,5,5,5,1,1,1,2,5,5,5,4,1,5,4,5,5,1,2,5,1,1,1,5,1,4,2,2,4,2,4,3,2,4,2,5,1,1,1,1,5,4,5,2,3,1,1,2,5,3,2,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,324,15,101,1749,67,176,52,52,73,45,67,69,62,78,36,11,NA,5,NA,NA,1033,NA,45604.943067129629,1,0,18,18,0,0,0.84
184,NA,NA,US-01,interview,45604.911006944443,1,1,38,1,2,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,NA,NA,1,NA,2,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,NA,1,NA,3,3,160,2,0,7,0,0,0,40,15,2,2,2,4,1,2,3,2,3,3,1,2,2,2,2,1,2,2,1,1,2,2,2,2,1,1,5,5,5,5,5,5,5,2,4,2,4,2,4,4,3,2,3,3,3,3,2,3,3,4,4,2,5,4,2,3,4,5,5,5,5,5,1,1,1,5,5,5,5,5,5,5,2,4,4,4,4,4,4,4,2,2,4,4,1,3,3,5,5,5,5,1,1,1,2,5,5,5,4,2,5,1,5,5,1,1,5,2,1,2,4,2,4,2,2,2,2,5,4,4,1,1,5,1,2,1,2,1,3,2,1,4,1,3,3,4,3,3,3,4,1,3,2,2,2,1,3,2,2,2,1,3,2,2,2,1,3,2,2,2,1,1,2,1,1,1,1,2,1,1,1,3,2,2,2,1,3,2,2,2,1,0,1,1,1,1,NA,3,2,0,9,16,76,241,120,219,87,20,105,47,50,90,31,105,63,6,105,3,NA,NA,1393,NA,45604.927129629628,1,0,18,18,1,0,0.99
186,NA,NA,US-01,interview,45604.913888888892,1,1,56,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,NA,NA,1,NA,5,3,1,1,2,2,2,1,1,1,1,1,1,1,1,1,NA,1,NA,12,0,5,3,0,1,0,0,1,9,6,2,3,5,5,1,2,3,2,2,4,2,2,2,3,2,1,1,4,4,1,1,1,4,3,2,1,5,5,5,5,4,4,5,3,5,1,3,1,5,4,5,3,3,3,3,5,1,3,3,5,3,3,4,5,1,1,5,5,5,5,5,4,1,1,1,5,5,5,5,5,5,5,3,3,3,4,3,3,4,2,3,2,4,4,2,4,2,5,5,5,5,1,1,1,1,5,5,5,5,1,5,1,5,4,1,2,5,2,2,2,4,2,4,1,2,3,1,4,4,3,2,4,4,1,3,3,1,1,1,4,1,3,4,4,4,4,4,4,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,13,80,235,93,293,92,60,121,54,73,123,54,100,45,12,NA,3,NA,NA,1459,NA,45604.930775462963,1,0,18,18,0,0,0.88
187,NA,NA,US-01,interview,45604.916319444441,1,1,65,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,NA,NA,1,NA,5,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,NA,1,NA,12,3,90,30,2,0,0,0,1,10,2,1,2,1,1,1,3,2,3,2,2,1,3,3,1,1,1,3,2,2,1,1,1,1,2,1,1,5,5,5,5,5,5,5,1,5,1,5,1,3,4,4,2,3,1,4,5,1,3,4,5,5,3,5,4,1,3,5,5,5,5,5,5,1,1,1,4,5,5,5,5,5,5,3,3,3,4,4,4,4,4,3,3,4,3,1,3,1,4,5,5,5,1,1,1,1,4,4,4,3,1,5,1,5,4,1,2,4,2,1,1,4,2,5,1,1,1,1,1,5,5,1,1,5,2,1,1,1,1,4,1,2,4,2,3,4,4,4,4,3,4,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,0,1,1,1,1,NA,1,0,0,24,25,83,148,87,247,118,52,117,86,76,170,33,83,34,27,396,7,NA,NA,1478,NA,45604.937303240738,1,0,18,18,1,0,0.69
189,NA,NA,US-01,interview,45604.94,1,1,54,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,NA,NA,1,NA,5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,NA,1,NA,11,0,5,9,0,1,0,0,0,16,1,3,3,2,3,2,2,2,3,3,2,2,3,2,2,1,1,3,3,2,2,2,1,3,2,2,1,3,5,5,4,3,3,4,2,3,3,3,3,3,5,4,2,4,5,3,4,2,3,3,4,3,3,2,3,2,3,5,5,5,5,5,3,1,1,1,4,5,4,5,5,5,5,3,3,3,4,3,4,4,3,2,2,4,3,1,4,2,5,5,5,5,1,1,1,1,5,5,5,5,2,5,1,5,4,1,1,5,1,1,2,5,2,5,1,1,2,2,4,4,4,1,1,3,2,1,1,1,1,2,3,4,4,1,3,3,3,3,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,13,42,108,62,229,62,24,85,37,51,82,29,58,35,4,NA,9,NA,NA,937,NA,45604.950844907406,1,0,18,18,0,0,46023
202,NA,NA,US-01,interview,45605.006435185183,1,1,39,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,NA,NA,1,NA,5,3,1,1,2,1,1,1,1,1,2,1,1,1,2,1,NA,1,NA,5,2,4,16,0,8,1,0,0,120,1,3,3,3,3,3,2,2,2,2,2,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,5,5,5,5,5,5,5,4,4,2,2,2,5,4,5,4,4,4,2,5,3,1,2,4,3,4,5,3,3,1,5,5,5,5,5,4,1,1,1,5,5,5,5,5,5,5,3,3,3,3,3,3,4,4,2,2,4,4,1,4,1,5,5,5,5,1,1,1,3,4,4,4,4,2,5,1,5,5,1,1,5,1,1,1,5,2,5,1,1,1,1,4,5,5,1,1,5,1,3,3,1,2,1,4,2,3,2,3,4,5,3,1,2,3,1,4,2,2,2,2,2,1,1,2,2,3,2,2,2,1,2,2,1,2,1,1,2,1,1,1,3,2,2,2,1,2,2,1,2,1,2,2,1,2,1,0,1,1,1,1,NA,5,2,0,129,12,80,151,79,202,89,40,113,36,64,123,48,83,44,10,108,3,NA,NA,1414,NA,45605.022800925923,1,0,18,18,1,0,0.83
